fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
2,1,19,70.7560934036,70.7560934036,70.7560934036,70.7560934036,70.7560934036,70.7560934036
2,2,0,0.8185954689,0.8185954689,0.8185954689,0.8185954689,0.8185954689,0.8185954689
2,2,1,7.7814409561,7.7814409561,7.7814409561,7.7814409561,7.7814409561,7.7814409561
2,2,2,3.7465921,3.7465921,3.7465921,3.7465921,3.7465921,3.7465921
2,2,3,12.4494533215,12.4494533215,12.4494533215,12.4494533215,12.4494533215,12.4494533215
2,2,4,1.4041360612,1.4041360612,1.4041360612,1.4041360612,1.4041360612,1.4041360612
2,2,5,4.8734319769,4.8734319769,4.8734319769,4.8734319769,4.8734319769,4.8734319769
2,2,6,3.1545918189,3.1545918189,3.1545918189,3.1545918189,3.1545918189,3.1545918189
2,2,7,5.3273543643,5.3273543643,5.3273543643,5.3273543643,5.3273543643,5.3273543643
2,2,8,4.4213850257,4.4213850257,4.4213850257,4.4213850257,4.4213850257,4.4213850257
2,2,9,6.5821440986,6.5821440986,6.5821440986,6.5821440986,6.5821440986,6.5821440986
2,2,10,15.488336475,15.488336475,15.488336475,15.488336475,15.488336475,15.488336475
2,2,11,0.6086824853,0.6086824853,0.6086824853,0.6086824853,0.6086824853,0.6086824853
2,2,12,5.4582179373,5.4582179373,5.4582179373,5.4582179373,5.4582179373,5.4582179373
2,2,13,3.6100666142,3.6100666142,3.6100666142,3.6100666142,3.6100666142,3.6100666142
2,2,14,18.9574679668,18.9574679668,18.9574679668,18.9574679668,18.9574679668,18.9574679668
2,2,15,72.3891089161,72.3891089161,72.3891089161,72.3891089161,72.3891089161,72.3891089161
2,2,16,3.6592325681,3.6592325681,3.6592325681,3.6592325681,3.6592325681,3.6592325681
2,2,17,118.7630344155,118.7630344155,118.7630344155,118.7630344155,118.7630344155,118.7630344155
2,2,18,11.8605268514,11.8605268514,11.8605268514,11.8605268514,11.8605268514,11.8605268514
2,2,19,33.3637139598,33.3637139598,33.3637139598,33.3637139598,33.3637139598,33.3637139598
2,3,0,73.4114474464,73.4114474464,73.4114474464,73.4114474464,73.4114474464,73.4114474464
2,3,1,289.9548953607,289.9548953607,289.9548953607,289.9548953607,289.9548953607,289.9548953607
2,3,2,17.2719081254,17.2719081254,17.2719081254,17.2719081254,17.2719081254,17.2719081254
2,3,3,152.4135385114,152.4135385114,152.4135385114,152.4135385114,152.4135385114,152.4135385114
2,3,4,283.7540656915,283.7540656915,283.7540656915,283.7540656915,283.7540656915,283.7540656915
2,3,5,747.4075581724,747.4075581724,747.4075581724,747.4075581724,747.4075581724,747.4075581724
