fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
4,2,14,20.8940796543,20.8940796552,20.8940796552,20.8940796543,19.667470904,20.8940796543
4,2,15,17.9092226797,17.909228223,17.909228223,17.909222735,17.909228223,17.9092226802
4,2,16,6.9647083618,6.9647083623,6.9647083623,6.9647083618,6.9647083623,6.9647083618
4,2,17,17.9092226797,17.9092226817,17.9092226817,17.9092226797,17.9092226817,17.9092226797
4,2,18,9.9495804953,9.9495810996,9.9495810996,9.9495804966,9.9495810996,9.9495804958
4,2,19,33.8283443727,33.8283456429,33.8283456429,33.8283443739,33.8283456429,33.828344373
4,3,0,20.8940340401,20.8940340444,20.8940340444,20.8940340401,20.8940340444,20.8940340401
4,3,1,9.9495804953,9.9495808838,9.9495808838,9.9495804958,9.9495808838,9.9495804955
4,3,2,9.9495602986,9.9495603233,9.9495603233,9.9495602986,9.9495603233,9.9495602986
4,3,3,30.8434722393,30.8451329491,30.8451329491,30.8434917942,30.8451329491,30.843474102
4,3,4,6.9647083618,6.964708363,6.964708363,6.9647083618,6.964708363,6.9647083618
4,3,5,5.9697493047,5.9697524974,5.9697524974,5.969749586,5.9697524974,5.9697493132
4,3,6,2.9848771713,2.9848773162,2.9848773162,2.9848771738,2.9848773162,2.9848771719
4,3,7,6.9647083618,6.9647083629,6.9647083629,6.9647083618,6.9647083629,6.9647083618
4,3,8,34.823405712,38.1759634835,46.2421699919,46.2421699919,35.5314554566,46.2421699919
4,3,9,9.9495804953,9.9495804968,9.9495804968,9.9495804953,9.9495804968,9.9495804953
4,3,10,11.9394784259,13.6096534441,36.5810788409,36.5810788409,13.9633961861,36.5810788409
4,3,11,13.9293914891,13.9293930018,13.9293930018,13.9293915042,13.9293930018,13.9293914909
4,3,12,9.9495804953,9.9495805892,9.9495805892,9.9495804953,9.9495805892,9.9495804953
4,3,13,17.9092226797,17.9093831508,17.9093831508,17.9092227641,17.9093831508,17.9092226955
4,3,14,17.9092226797,17.9092227,17.9092227,17.9092226798,17.9092227,17.9092226797
4,3,15,10.9445193557,10.944524519,10.944524519,10.9445193601,10.944524519,10.9445193613
4,3,16,20.8940796543,20.8940806072,20.8940806072,20.8940796551,16.3830421929,20.8940796551
4,3,17,6.9647083618,6.9647083635,6.9647083635,6.9647083618,6.9647083635,6.9647083618
4,3,18,8.9546214382,8.9546214396,8.9546214396,8.9546214382,8.9546214396,8.9546214382
4,3,19,18.9041817368,19.5283591341,29.1207230259,29.1207230259,19.7913829465,29.1207230259
4,4,0,25.8688242878,25.8688273965,25.8688273965,25.8688242888,25.8688273965,25.8688242891
4,4,1,18.9041817368,18.9042065105,18.9042065105,18.9041817471,18.9042065105,18.9041817466
4,4,2,3.9798362284,3.9798362896,3.9798362896,3.9798362285,3.9798362896,3.9798362284
4,4,3,8.9546214382,8.9549713331,8.9549713331,8.954622501,8.9549713331,8.9546217045
4,4,4,38.8059259215,39.729804371,41.4326356864,41.4326356864,39.5590290352,41.4326356864
4,4,5,22.2555436978,22.0747215343,36.2338350477,36.2338350477,23.0617183784,36.2338350477
4,4,6,14.9243505462,14.9263701557,14.9263701557,14.9243592802,14.9263701557,14.9243508984
4,4,7,17.9092226797,17.9092226904,17.9092226904,17.9092226797,17.9092226904,17.9092226797
4,4,8,13.9293914891,13.9293915458,13.9293915458,13.9293914892,13.9293915458,13.9293914892
4,4,9,12.9344526288,12.9344526403,12.9344526403,12.9344526288,12.9344526403,12.9344526288
4,4,10,20.8940340401,20.8940342399,20.8940342399,20.8940340403,20.8940342399,20.8940340402
4,4,11,9.9495804953,9.9495805223,9.9495805223,9.9495804953,9.9495805223,9.9495804953
4,4,12,9.9495804953,9.9495805046,9.9495805046,9.9495804953,9.9495805046,9.9495804953
4,4,13,14.9243505462,14.9243505776,14.9243505776,14.9243505463,14.9243505776,14.9243505463
4,4,14,48.7524445616,48.752444562,48.752444562,48.7524445616,48.752444562,48.7524445616
4,4,15,8.9546214384,8.9552196336,8.9552196336,8.954623304,8.9552196336,8.9546224846
4,4,16,16.9142636226,16.9142637103,16.9142637103,16.9142636237,16.9142637103,16.9142636227
4,4,17,15.9193096033,15.9193235102,15.9193235102,15.9193096268,15.9193235102,15.9193096171
4,4,18,12.9344374699,13.3917138828,16.5028905881,16.5028905881,13.6883443244,16.5028905881
4,4,19,9.7781392035,10.7084581269,18.4723630356,18.4723630356,11.0255183308,18.4723630356
4,5,0,15.9193096033,15.919309655,15.919309655,15.9193096035,15.919309655,15.9193096034
4,5,1,26.8637631481,26.8637631988,26.8637631988,26.8637631483,26.8637631988,26.8637631482
4,5,2,21.8890538702,21.8890538706,21.8890538706,21.8890538702,21.8890538706,21.8890538702
4,5,3,13.9293914891,13.9293914904,13.9293914904,13.9293914891,13.9293914904,13.9293914891
4,5,4,10.3605655421,12.801443282,25.8489863559,25.8489863559,10.5889121855,25.8489863559
4,5,5,17.9092226797,17.9092227542,17.9092227542,17.9092226798,17.9092227542,17.9092226797
4,5,6,18.9041817368,20.603997736,46.4617508664,46.4617508664,20.0553732355,46.4617508664
4,5,7,14.9244643347,21.675825912,40.3169982841,40.3169982841,20.8130446773,40.3169982841
