fid,iid,rep,static_B8,static_B16,static_B24,static_B32,static_B40,static_B48,static_B56,static_B64,static_B72,static_B80,static_B88,static_B96,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
22,5,4,0.0010775347,0.6918569323,0.6918569112,0.6918569112,0.2314684985,0.0058441942,0.6918569112,0.6918569433,0.6918569274,0.6918569112,0.6918569274,0.6918569112,0.6918569362,0.691856928,0.6918569263,0.691856941,0.6918569267,0.6918569212,0.6918569232,0.0489075807,0.6918569555,0.6918569263,0.6918569166,0.6918569115,0.691856912,0.6918569118,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,5,5,0.6918569112,8.7427505321,0.6920039271,0.1084878503,50.1635385628,0.6918569112,0.6918569112,0.6918569112,0.6918646835,0.6918569112,0.2206986153,0.6918569321,0.6918569251,0.6918569151,0.6918569112,0.6918569336,0.6918569198,0.6918569112,0.6918569241,0.6918569348,0.6918569448,0.1636183793,0.6918569156,0.3078624418,0.6918569117,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,5,6,0.6918571402,7.2716291936,0.6918598139,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291937,7.2716291936,7.2716291936,2.2430625901,0.0102606798,0.6918569301,0.6918569375,0.0030140432,0.6918605326,0.6919930666,0.6918742707,0.0361498778,1.7017799252,0.7552468246,2.4298828831,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,5,7,14.5848415295,0.6918569351,0.6919434867,0.6918569486,0.6918569486,0.6571061177,0.6918569494,0.6918569494,0.6918569494,0.6918569486,25.4769507932,25.4772389802,25.4769507932,2.8339729241,25.4769507932,25.4769507932,25.4769507932,0.6918569165,25.4769507932,0.6918665433,18.002059316,5.137630599,0.6923870204,7.3558952452,2.0472996013,25.4769507932,25.4769507932,25.4769507932,25.4769507933,25.4769507932,25.4769507932
22,5,8,7.2716291936,0.6918569224,0.69185692,0.6918569224,7.2716291936,0.6918569549,7.2716291936,7.2716291936,0.6918571139,2.0917830487,7.2716291936,7.2716291936,0.6931519812,6.74562e-05,0.6918569113,0.6918569184,0.6918569745,0.0190701077,0.6918587562,0.6919081512,0.3439337943,7.2716291957,7.2716291957,7.2716291943,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,5,9,0.6918569112,7.2716291936,7.2716291936,7.2716291936,7.2716291936,0.6918569136,7.2716291936,0.6918569136,7.2716291936,0.6918569334,0.6918575755,7.2716291936,0.6918569115,2.18e-08,2.18e-08,7.2716291936,7.2716291936,0.6918569501,0.6918796793,0.8771699786,0.0235690581,7.2716291957,7.2716291957,7.2716291946,7.2716291936,7.2716291938,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,5,10,5.5597939209,0.0001057421,0.691871217,0.0,8.7427505321,0.6918569434,0.0241230966,0.6919405196,0.6271160392,25.4769507932,0.038075531,0.6918569434,25.4769507934,1.1338391082,9.90073e-05,25.4769507932,0.6918569577,0.6918576897,25.4769507933,25.4769507932,25.4769507932,0.1299357565,0.0023724128,0.7007214529,0.8795040651,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932
22,5,11,0.6918569112,9.3e-09,7.2716291941,0.6918569567,0.6918569112,0.6918569345,0.6918569112,0.6918569115,0.6918569112,0.6918569253,0.6918569454,0.6918569454,0.6918569545,0.691856912,0.1410128775,0.6918569242,0.6918569159,0.0048137508,0.691856934,0.6918569265,0.6918569226,0.6918569117,0.6918569118,0.6918569113,0.6918569113,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,5,12,0.0,0.6918569273,3e-09,3e-10,0.6918569112,0.1993982472,0.6938457104,0.6918569112,0.6918569234,0.6918569238,0.6918569112,0.6918569112,0.691856916,0.6918569273,0.6918569351,0.6918569296,0.6918569121,0.6918569116,0.69185692,0.4990308973,0.2426467384,0.6918569162,0.6410903384,0.6918569115,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,5,13,0.0,0.0,1e-09,6e-10,6e-10,0.0002240069,0.0,0.0005739348,0.0006046793,0.0006046813,0.0,0.0008821157,0.0,0.1255345812,0.0045580031,0.0002448748,5e-10,0.0,3e-10,0.0,1e-10,3e-09,1e-10,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0
